TribalCededLandsNewOBJECTID,TribalCededLandsNewCESSNUM,TribalCededLandsNewCESSNUMSORT,TribalCededLandsNewSHAPE_Length,TribalCededLandsNewSHAPE_Area,TribalCededLandsTableOBJECTID,TribalCededLandsTableCessNum,TribalCededLandsTableCessNumSort,TribalCededLandsTableMapName,TribalCededLandsTableState,TribalCededLandsTableCounty,TribalCededLandsTableStateCounty,TribalCededLandsTableSchdTrb,TribalCededLandsTablePresDayTrb,TribalCededLandsTableCitation1,TribalCededLandsTableCitation2,TribalCededLandsTableCessDate1,TribalCededLandsTableDate1Link_Royce_Schedule,TribalCededLandsTableDate1Link_Kappler_Treaty,TribalCededLandsTableCessDate2,TribalCededLandsTableDate2Link_Royce_Schedule,TribalCededLandsTableDate2Link_Kappler_Treaty,TribalCededLandsTableCessDate3,TribalCededLandsTableDate3Link_Royce_Schedule,TribalCededLandsTableDate3Link_Kappler_Treaty,TribalCededLandsTableCessDate4,TribalCededLandsTableDate4Link_Royce_Schedule,TribalCededLandsTableDate4Link_Kappler_Treaty,TribalCededLandsTableCessDate5,TribalCededLandsTableDate5Link_Royce_Schedule,TribalCededLandsTableDate5Link_Kappler_Treaty,TribalCededLandsTableMapName1,TribalCededLandsTableMapName2,TribalCededLandsTableMapName3,TribalCededLandsTableMapName4,TribalCededLandsTableMapName5,TribalCededLandsTableMapName6,TribalCededLandsTableMapURL1,TribalCededLandsTableMapURL2,TribalCededLandsTableMapURL3,TribalCededLandsTableMapURL4,TribalCededLandsTableMapURL5,TribalCededLandsTableMapURL6,TribalCededLandsTableLink_Federal_Statute,TribalCededLandsTableLink_Executive_Order,TribalCededLandsTableLink_Other_Treaty
338,560,560,263151.196547306,2080977603.23071,422,560,560,Nevada,NV,"Lyon; Mineral","NV:Lyon; NV:Mineral",Paiute,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California; Bishop Paiute Tribe, California; Bridgeport Indian Colony, California; Burns Paiute Tribe, Oregon; Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California; Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon; Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona; Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada; Lone Pine Paiute-Shoshone Tribe, California; Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada; Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada; Paiute Indian Tribe of Utah; Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada; Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada; San Juan Southern Paiute Tribe of Arizona; Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada; Summit Lake Paiute Tribe of Nevada; Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California; Walker River Paiute Tribe of the Walker River Reservation, Nevada; Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada","2 Hodge 187; Tiller 223; Tiller 238; Tiller 254; Tiller 261; Tiller 264; Tiller 288; Tiller 305; Tiller 507; Tiller 508-09; Tiller 509; Tiller 510; Tiller 511; Tiller 518; Tiller 525; Tiller 665; Tiller 721","Tiller 502; Tiller 513; Tiller 519",1874/03/19 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Nevada,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=43,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/560r.pdf,
339,561,561,296488.858595016,3287897631.69889,423,561,561,Nevada,NV,Washoe,NV:Washoe,Paiute,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California; Bishop Paiute Tribe, California; Bridgeport Indian Colony, California; Burns Paiute Tribe, Oregon; Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California; Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon; Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona; Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada; Lone Pine Paiute-Shoshone Tribe, California; Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada; Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada; Paiute Indian Tribe of Utah; Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada; Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada; San Juan Southern Paiute Tribe of Arizona; Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada; Summit Lake Paiute Tribe of Nevada; Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California; Walker River Paiute Tribe of the Walker River Reservation, Nevada; Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada","2 Hodge 187; Tiller 223; Tiller 238; Tiller 254; Tiller 261; Tiller 264; Tiller 288; Tiller 305; Tiller 507; Tiller 508-09; Tiller 509; Tiller 510; Tiller 511; Tiller 518; Tiller 525; Tiller 665; Tiller 721","Tiller 502; Tiller 513; Tiller 519",1874/03/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Nevada,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=43,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/561r.pdf,
340,577,577,21975.2491718868,18947078.835584,424,577,577,Nevada,NV,Clark,NV:Clark,Paiute,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California; Bishop Paiute Tribe, California; Bridgeport Indian Colony, California; Burns Paiute Tribe, Oregon; Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California; Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon; Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona; Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada; Lone Pine Paiute-Shoshone Tribe, California; Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada; Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada; Paiute Indian Tribe of Utah; Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada; Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada; San Juan Southern Paiute Tribe of Arizona; Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada; Summit Lake Paiute Tribe of Nevada; Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California; Walker River Paiute Tribe of the Walker River Reservation, Nevada; Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada","2 Hodge 187; Tiller 223; Tiller 238; Tiller 254; Tiller 261; Tiller 264; Tiller 288; Tiller 305; Tiller 507; Tiller 508-09; Tiller 509; Tiller 510; Tiller 511; Tiller 518; Tiller 525; Tiller 665; Tiller 721","Tiller 502; Tiller 513; Tiller 519",1875/03/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up,,1875/07/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/882/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Nevada,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=43,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/577r.pdf,,
341,605,605,11044.2428447608,6881692.21850957,425,605,605,Nevada,NV,Elko,NV:Elko,Shoshoni (northwestern bands),"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California; Death Valley Timbi-Sha Shoshone Band of California; Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada; Ely Shoshone Tribe of Nevada; Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon; Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California; Paiute-Shoshone Indians of the Lone Pine Community of the Lone Pine Reservation, California; Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada; Shoshone Tribe of the Wind River Reservation, Wyoming; Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho; Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada; Te-Moak Tribe of Western Shoshone Indians of Nevada; Yomba Shoshone Tribe of the Yomba Reservation, Nevada",,,1877/05/10 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/890/mode/2up,,1879/01/16 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/894/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Nevada,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=43,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/605c.pdf,,
342,422,422,67408.4712643358,189806822.069311,426,422,422,Nevada,NV,Elko,NV:Elko,Western Shoshoni,Te-Moak Tribe of Western Shoshone Indians of Nevada,,,1859/10/05 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/822/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=808",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Nevada,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=43,,,,,,,,
343,461,461,100302.612409214,627316602.896871,427,461,461,California 2,CA,Humboldt,CA:Humboldt,"Hupa (S. Fork, Redwood, and Grouse Creek bands)","Hoopa Valley Tribe, California",,,1864/08/21 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/832/mode/2up,,1876/06/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/886/mode/2up,,1891/10/16 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/832/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/461r.pdf,,
344,400,400,164047.283920624,649217968.881768,428,400,400,California 2,CA,"Del Norte; Humboldt","CA:Del Norte; CA:Humboldt",Klamath,"Klamath Tribes, Oregon",1 Hodge 712,Waldman 134-35,1855/11/16 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/814/mode/2up,,1891/10/16 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/942/mode/2up,,1892/06/17 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/944/mode/2up,,1894/08/15 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/948/mode/2up,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/400r.pdf,
345,521,521,81775.2406777931,271565457.967649,429,521,521,California 2,CA,Del Norte,CA:Del Norte,Smith River Reservation,,,,1868/07/27 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/521c.pdf,,
346,607,607,84739.3936852882,371536459.309854,430,607,607,California 2,CA,Tulare,CA:Tulare,"King's River; Tule River or Madden Farm reservation Indians","Big Sandy Rancheria of Mono Indians of California; North Fork Rancheria of Mono Indians of California; Tule River Indian Tribe of the Tule River Reservation, California",,,1873/01/09 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/860/mode/2up,,1873/10/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/864/mode/2up,,1878/08/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/607c.pdf,
347,547,547,77626.5967937235,343260328.404522,431,547,547,California 2,CA,Tulare,CA:Tulare,"King's River; Owen's river; Tule River","Big Sandy Rancheria of Mono Indians of California; Cold Springs Rancheria of Mono Indians of California; North Fork Rancheria of Mono Indians of California; Tule River Indian Tribe of the Tule River Reservation, California",,,1873/10/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/864/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/547r.pdf,
348,402,402,26104.1431897217,28151352.8140643,432,402,402,California 2,CA,Tulare,CA:Tulare,Tule River or Madden Farm reservation Indians,,,,1856/01/01 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/814/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,,
349,311,311,126982.568675745,501759613.267997,433,311,311,California 2,CA,Kern,CA:Kern,"San Imirio; Tejon",Nonfederally Recognized Indian Groups,,,1853/09/01 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/788/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,,
350,423,423,45732.1605592864,127521911.768236,434,423,423,California 2,CA,Madera,CA:Madera,"Chook-chan-cie; Chow-chilla; Poho-neche","Buena Vista Rancheria of Me-Wuk Indians of California; California Valley Miwok Tribe, California; Chicken Ranch Rancheria of Me-Wuk Indians of California; Ione Band of Miwok Indians of California; Jackson Rancheria of Me-Wuk Indians of California; Middletown Rancheria of Pomo Indians of California; Picayune Rancheria of Chukchansi Indians of California; Santa Rosa Indian Community of the Santa Rosa Rancheria, California; Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California; Table Mountain Rancheria of California; Tule River Indian Tribe of the Tule River Reservation, California; Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California",,,1859/11/19 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/822/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,,
351,528,528,69996.4321475139,279355282.896398,435,528,528,California 2,CA,"Riverside; San Diego","CA:Riverside; CA:San Diego",Mission Indians (San Pasqual and Pala Valley),"Pala Band of Luiseno Mission Indians of the Pala Reservation, California; San Pasqual Band of Diegueno Mission Indians of California",,,1870/01/31 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/528c.pdf,
352,527,527,90182.9250991095,506549479.597154,436,527,527,California 2,CA,San Diego,CA:San Diego,Mission Indians (San Pasqual and Pala Valley),"Pala Band of Luiseno Mission Indians of the Pala Reservation, California; San Pasqual Band of Diegueno Mission Indians of California",,,1870/01/31 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/527c.pdf,
353,652,652,89898.3884737302,413745993.236015,437,652,652,California 2,CA,Imperial,CA:Imperial,Yuma,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",,,1884/01/09 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/914/mode/2up,,1894/08/15 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/948/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/652r.pdf,
354,522,522,59184.7093953684,197250017.910928,438,522,522,California 2,CA,Mendocino,CA:Mendocino,Mendocino Indian Reservation,,,,1856/05/22 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/816/mode/2up,,1868/07/27 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/522c.pdf,,
355,583,583,137048.970222652,760659191.846297,439,583,583,California 2 (Detail of Round Valley Reservation),CA,"Mendocino; Trinity","CA:Mendocino; CA:Trinity",Round Valley Reservation Indians,,,,1873/03/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/862/mode/2up,,1873/04/08 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/862/mode/2up,,1875/05/18 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/880/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2 (detail of Round Valley reservation),,,,,,,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/583r.pdf,
356,544,544,49418.2427220905,134827716.780246,440,544,544,California 2 (Detail of Round Valley Reservation),CA,Mendocino,CA:Mendocino,Round Valley Reservation Indians,,,,1873/03/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/862/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2 (detail of Round Valley reservation),,,,,,,,,,,,,,
357,331,331,90684.1350812446,188257650.455017,441,331,331,California 2,CA,Tehama,CA:Tehama,"Nir-muck; Nome Cult; Nome Lackee","Grindstone Indian Rancheria of Wintun-Wailaki Indians of California; Round Valley Indian Tribes of the Round Valley Reservation, California",,,1854/09/01 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/794/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,,
358,594,594,11999.7735570443,8931167.00163083,442,594,594,California 2 (Detail of Round Valley Reservation),CA,Mendocino,CA:Mendocino,Round valley Indians,"Round Valley Indian Tribes of the Round Valley Reservation, California",Tiller 333,,1876/07/26 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/886/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,California 2 (detail of Round Valley reservation),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=8,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/594r.pdf,
359,80,80,1273943.06675756,32349772584.9307,443,80,80,"Mississippi, Tennessee and Alabama (Portions Of), Alabama (Northern Portion)","AL; MS; TN","Colbert; Cullman; Fayette; Franklin; Giles; Hardin; Hickman; Humphreys; Lamar; Lauderdale; Lawrence; Lewis; Limestone; Lowndes; Madison; Marion; Maury; Monroe; Morgan; Perry; Walker; Wayne; Winston","AL:Colbert; AL:Cullman; AL:Fayette; AL:Franklin; AL:Lamar; AL:Lauderdale; AL:Lawrence; AL:Limestone; AL:Madison; AL:Marion; AL:Morgan; AL:Walker; AL:Winston; MS:Lowndes; MS:Monroe; TN:Giles; TN:Hardin; TN:Hickman; TN:Humphreys; TN:Lawrence; TN:Lewis; TN:Maury; TN:Perry; TN:Wayne",Chickasaw,"Chickasaw Nation, Oklahoma",Fogelson 492-94,Tiller 611,1816/09/20 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/682/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=143",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Alabama (northern portion),Mississippi,Tennessee and Alabama (portions of),,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=2,https://www.loc.gov/resource/g3701em.gct00002/?sp=36,https://www.loc.gov/resource/g3701em.gct00002/?sp=56,,,,,,
360,81,81,65423.8774004818,129784058.817449,444,81,81,"Alabama (Northern Portion), Tennessee and Alabama (Portions Of)",AL,Lauderdale,AL:Lauderdale,Chickasaw,"Chickasaw Nation, Oklahoma",Fogelson 492-94,Tiller 611,1816/09/20 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/682/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=143",1818/10/19 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=182",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Alabama (northern portion),Tennessee and Alabama (portions of),,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=2,https://www.loc.gov/resource/g3701em.gct00002/?sp=56,,,,,,,
361,447,447,970225.17398679,47814334321.1112,277,447,447,"Utah 1, Nevada","NV; UT","Elko; Juab; Tooele; White Pine","NV:Elko; NV:White Pine; UT:Juab; UT:Tooele",Shoshone-Goship,,,,1863/10/12 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/830/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=867",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Utah 1,Nevada,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=58,https://www.loc.gov/resource/g3701em.gct00002/?sp=43,,,,,,,
362,449,449,41675.4303522142,75672006.1711515,278,449,449,Utah 1,UT,Utah,UT:Utah,Uta,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado; Ute Indian Tribe of the Uintah & Ouray Reservation, Utah; Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah","2 Hodge 1116; 2 Hodge 875-76, 1116","Waldman 308; Tiller 367; Waldman 308; Tiller 369; Waldman 308; Tiller 724",1864/05/05 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/830/mode/2up,,1878/06/18 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Utah 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=58,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/449c.pdf,,
363,450,450,96896.1106384918,594725526.17227,279,450,450,Utah 1,UT,Millard,UT:Millard,Uta,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado; Ute Indian Tribe of the Uintah & Ouray Reservation, Utah; Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah","2 Hodge 1116; 2 Hodge 875-76, 1116","Waldman 308; Tiller 367; Waldman 308; Tiller 369; Waldman 308; Tiller 724",1864/05/05 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/830/mode/2up,,1878/06/18 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Utah 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=58,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/450c.pdf,,
364,451,451,105251.334856909,684865428.382541,280,451,451,Utah 1,UT,Sanpete,UT:Sanpete,Uta,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado; Ute Indian Tribe of the Uintah & Ouray Reservation, Utah; Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah","2 Hodge 1116; 2 Hodge 875-76, 1116","Waldman 308; Tiller 367; Waldman 308; Tiller 369; Waldman 308; Tiller 724",1864/05/05 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/830/mode/2up,,1878/06/18 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Utah 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=58,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/FedStatIndianLand/451c.pdf,,
365,431,431,578770.20840886,15678554129.2786,281,431,431,Utah 1,UT,"Duchesne; Uintah; Utah; Wasatch","UT:Duchesne; UT:Uintah; UT:Utah; UT:Wasatch",Uintah Uta,,,,1861/10/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/824/mode/2up,,1887/09/01 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/924/mode/2up,,1888/05/24 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/924/mode/2up,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Utah 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=58,,,,,,,http://ops.libs.uga.edu/ehistory/InvasionOfAmerica/ExecOrdersIndianLand/431r.pdf,
